Time,Pitch,Roll
7544,34.7026,-0.796612
7552,34.807,-0.790684
7561,34.9281,-0.826794
7569,35.0378,-0.844683
7578,35.1719,-0.846891
7586,35.2836,-0.834962
7595,35.4149,-0.814071
7604,35.5066,-0.818467
7613,35.6296,-0.800813
7622,35.737,-0.794905
7631,35.8653,-0.769264
7639,35.9904,-0.74524
7648,36.1108,-0.749469
7657,36.238,-0.724153
7666,36.365,-0.713989
7675,36.4532,-0.696791
7683,36.5582,-0.67753
7692,36.6625,-0.671768
7700,36.7374,-0.672718
7709,36.8382,-0.662678
7718,36.9374,-0.650187
7726,37.0236,-0.636236
7735,37.1117,-0.633975
7745,37.214,-0.618988
7753,37.3017,-0.610991
7762,37.3669,-0.603596
7770,37.4397,-0.598891
7779,37.4887,-0.597228
7787,37.5334,-0.607843
7796,37.587,-0.610733
7805,37.6336,-0.599286
7813,37.6786,-0.593983
7822,37.7531,-0.587032
7834,37.8438,-0.568569
7842,37.9082,-0.553239
7851,37.9622,-0.545566
7859,38.0156,-0.542411
7868,38.0663,-0.52191
7877,38.1183,-0.516313
7885,38.1894,-0.52041
7894,38.2837,-0.553739
7902,38.3679,-0.621844
7911,38.5047,-0.649635
7919,38.5991,-0.690611
7928,38.6955,-0.716452
7936,38.7914,-0.720835
7945,38.8769,-0.74633
7954,38.9968,-0.763253
7962,39.1124,-0.811001
7971,39.2383,-0.815211
7979,39.3786,-0.846307
7988,39.5015,-0.856433
7997,39.6252,-0.870356
8006,39.774,-0.852197
8014,39.9258,-0.831666
8023,40.0645,-0.828933
8031,40.1906,-0.829724
8040,40.3269,-0.80031
8048,40.4618,-0.773563
8057,40.6292,-0.749979
8066,40.7768,-0.745787
8074,40.903,-0.732796
8083,41.033,-0.705803
8092,41.1484,-0.698733
8100,41.2438,-0.701302
8109,41.3557,-0.693143
8118,41.4758,-0.678999
8126,41.5925,-0.672729
8135,41.6738,-0.66385
8145,41.7579,-0.654821
8153,41.8163,-0.639412
8162,41.9126,-0.610571
8170,41.9835,-0.590719
8179,42.0352,-0.573134
8188,42.0404,-0.579134
8201,42.0166,-0.555539
8209,41.9864,-0.547286
8217,41.9898,-0.52804
8226,41.9656,-0.511175
8234,41.9169,-0.520768
8243,41.852,-0.515746
8251,41.7885,-0.484324
8260,41.7287,-0.46252
8268,41.6108,-0.44492
8277,41.5127,-0.438119
8285,41.3733,-0.428713
8294,41.2233,-0.409722
8302,41.0811,-0.413902
8311,40.9487,-0.388789
8319,40.8179,-0.357727
8328,40.6736,-0.334028
8336,40.5179,-0.302754
8346,40.324,-0.276933
8354,40.1547,-0.275237
8361,39.985,-0.255389
8370,39.7972,-0.227663
8378,39.6032,-0.208086
8387,39.4319,-0.196702
8395,39.2637,-0.171138
