Time,Pitch,Error,dError,IntError,ControlSignal
15769,-1.32715,0.497467,0.184091,-0.0275222,4.97467
15774,-1.33053,0.494079,-0.788424,-0.0253986,4.94079
15778,-1.3418,0.482812,-2.60056,-0.0233069,4.82812
15782,-1.34708,0.477532,-1.21504,-0.0212316,4.77532
15786,-1.3498,0.47481,-0.663545,-0.0192843,4.7481
15791,-1.35918,0.465429,-2.25801,-0.0173505,4.65429
15795,-1.36541,0.459207,-1.4657,-0.0154012,4.59207
15799,-1.3528,0.471815,2.96692,-0.0133962,4.71815
15803,-1.35235,0.472264,0.10465,-0.0113697,4.72264
15808,-1.33837,0.486244,3.36006,-0.00934651,4.86244
15812,-1.33718,0.487435,0.291938,-0.00735911,4.87435
15816,-1.33936,0.48525,-0.529133,-0.00535533,4.8525
15820,-1.32959,0.49502,2.3227,-0.00327299,4.9502
15824,-1.31909,0.505526,2.412,-0.00107103,5.05526
15829,-1.31145,0.513166,1.79959,0.00110747,5.13166
15833,-1.31039,0.514224,0.247428,0.00330526,5.14224
15837,-1.30607,0.518539,1.05346,0.00542952,5.18539
15841,-1.31034,0.514272,-1.04698,0.00752544,5.14272
15845,-1.30587,0.518748,1.09902,0.00963791,5.18748
15849,-1.3014,0.523211,1.10588,0.0117497,5.23211
15853,-1.29202,0.532591,2.30886,0.0139134,5.32591
15857,-1.28871,0.535899,0.806999,0.0161103,5.35899
15861,-1.28275,0.541861,1.47901,0.0182945,5.41861
15865,-1.28468,0.53993,-0.48207,0.020457,5.3993
15869,-1.28428,0.540334,0.101536,0.0226032,5.40334
15873,-1.26788,0.556735,4.21947,0.0247672,5.56735
15877,-1.26115,0.563465,1.72823,0.0269614,5.63465
15881,-1.24587,0.578744,3.93989,0.0292059,5.78744
15885,-1.23777,0.586845,2.1175,0.0314511,5.86845
15889,-1.23346,0.591148,1.10722,0.0337484,5.91148
15893,-1.23476,0.589849,-0.327351,0.0360897,5.89849
15896,-1.22293,0.601678,3.02989,0.0384388,6.01678
15900,-1.21979,0.60482,0.801477,0.0408099,6.0482
15904,-1.21152,0.613091,2.06037,0.0432709,6.13091
15908,-1.20901,0.615599,0.625734,0.045738,6.15599
15912,-1.20307,0.621547,1.48201,0.0482326,6.21547
15916,-1.21513,0.609484,-3.02302,0.0506648,6.09484
15920,-1.19871,0.625898,4.09775,0.0531719,6.25898
15924,-1.20148,0.623132,-0.691838,0.0556629,6.23132
15929,-1.20372,0.620892,-0.550209,0.0581908,6.20892
15932,-1.19348,0.631136,2.57856,0.0606981,6.31136
15936,-1.19082,0.633788,0.671846,0.0631997,6.33788
15941,-1.19962,0.624998,-1.96263,0.0659989,6.24998
15945,-1.19376,0.630856,1.43047,0.0685826,6.30856
15949,-1.19639,0.628224,-0.640452,0.0711648,6.28224
15953,-1.20002,0.624594,-0.869882,0.0737708,6.24594
15957,-1.2005,0.624108,-0.118746,0.0763258,6.24108
15962,-1.21758,0.607032,-3.84512,0.0790216,6.07032
15966,-1.22561,0.599,-1.74707,0.0817757,5.99
